,Unnamed: 0,Condition Name,Overview,Symptoms,Prevention,Treatment
0,,,,,,
1,1,Common cold,"Overview: Your body is aching, your throat is sore, your head is pounding and you cannot stop blowing your nose. The classic symptoms of cold and flu have just hit you and you are bombarded with a host of advice. Since the onset of common cold and flu are extremely similar, it is important to differentiate between the two, in order to follow a correct line of treatment. While both flu and the common cold are respiratory illnesses, the symptoms of flu are a lot worse than simple cold and cough.","The common cold is caused by viruses. Rhinovirus is responsible for around 10-40 per cent of common cold cases. The symptoms of cold may last up to a week and are extremely contagious for the first three days.1.Itchy, scratchy throat (sore throat)2.Runny nose3.Congestion4.Coughing5.Hoarse voice6.Mild fever7.Sneezing8.Dry throat9.Mild headache If you are down with severe cold and cough,you may experience other symptoms like:1.Exhaustion2.Reduction in appetite3.Shivering","The simplest way of preventing any kind of viral infection, including thecommon cold, is to maintain proper hygiene. It is extremely crucial because when anyone catches a cold, he/she becomes contagious about 24 hours before showing symptoms. Here are some of the best ways of limiting your exposure to cold and flu viruses. Washing your hands Avoiding crowded places Learn to practice coughing and sneezing into the inside of your elbow and notyour hands to prevent the spreading of the virus.Make it a point to clean common everyday objects regularly. Some of them are door handles, tabletops, smartphones, tap handles, keyboards, counters etc.Avoid touching your face after sneezing or coughing.Avoid smoking or even passive smoking as it can cause irritation and worsen the symptoms of a cold. Instead of using cloth towels, use paper towels to avoid contamination.","How to treat a common cold? Since the common cold is caused by a virus, taking antibiotics will not do anything.  Here are some of the things that you can do to ease the symptoms:                                            Drink plenty of fluid to avoid dehydration  Over-the-counter medications like decongestants and antihistamines can relieve the                                                                     Rest as much as possible Currently, there is no definitive cure of cold but there are a lot of home remedies which can ease the pain. Some of them are:1.Gargling2.Sipping on warm liquids 3.Taking steam"
2,2,Seasonal Flu,"The signs of cold are usually milder than the flu, as the symptoms of the seasonal flu are far more intense and may even cause serious medical complications including pneumonia. Even if you are taking the required amount of rest and precautions, it is important to consult a doctor, if1. Your coughing does not seem to go away. You might be suffering from either bronchitis or asthma.                                                               2. Your high fever does not seem to go down even after 3 to 5 days.3. You have pain in swallowing and gulping down food. It could be because of a bacterial infection.","seasonal flu is caused by viruses. The seasonal flu is mostly spread by the influenza viruses (A, B and C) which spread when people cough or sneeze without covering their mouths and send out droplets of the virus in the air. 1.Sudden onset of fever2.Throbbing headache3.Muscle ache and soreness4.Chills5.Sore throat6.Fatigue7.Joint pain While you might not need to consult a doctor for seasonal flu, look out for the belowmentioned serious symptoms:1.Fever above 103 Fahrenheit2.Trouble breathing3.Stomach pain4.Vomiting5.Severe sinus pain6.FaintingEmergency warning signs in children:1.No tears while crying2.Not wanting to be held3.Trouble breathing4.Bluish tinge in the colour of the skin","The simplest way of preventing any kind of viral infection, flu, is to maintain proper hygiene. It is extremely crucial because when anyone catches a cold and flu, he/she becomes contagious about 24 hours before showing symptoms. Here are some of the best ways of limiting your exposure to cold and flu viruses.1.Washing your hands                                                   2. Avoiding crowded places 3.Get a flu vaccine4.Learn to practice coughing and sneezing into the inside of your elbow and not your hands to prevent the spreading of the virus.                                                      5. Make it a point to clean common everyday objects regularly. Some of them are door handles, tabletops, smartphones, tap handles, keyboards, counters etc.                                                                           6. Avoid touching your face after sneezing or coughing.                                                                               7. Avoid smoking or even passive smoking as it can cause irritation and worsen the symptoms of a cold. 8. Instead of using cloth towels, use paper towels to avoid contamination.",How to treat seasonal flu? Some of the antiviral drugs that might be prescribed to treat the flu are: Oseltamivir (Tamiflu) Zanamivir (Relenza) Peramivir (Rapivab)
3,3,Headache or Migraine,"Headaches occur in the forehead, temples and back of the head, causing painful pressure or aching. Migraines are typically more intense and severe and can cause pain behind one of your eyes or ears, sensitivity to light or sound, and nausea.","Generally, a headache is not an indicator of a severe medical disorder. However, you should consult a doctor if you experience sudden, severe pain, or if your headache is accompanied by: Weakness, dizziness or loss of balance Difficulty speaking Seizures Blurry vision Fever, shortness of breath, a stiff neck or rash Nausea or vomiting It is also advisable to consult a doctor if you experience more than 3 headaches a week, or severe headaches that regularly interfere with your family or work life.",,"Wrap an ice pack in a cloth and apply it to the painful area, or take a warm shower. A gentle massage may also help to relieve some of the tension in your temples or neck. Maintain pressure for 7 – 15 seconds, then repeat. If you have a migraine, inhaling lavender essential oil for 15 minutes may help to ease the pain. Apply it to the temples or breathe directly over the bottle."
4,4,Allergies,"Allergies occur when your immune system reacts to a foreign substance — such as pollen, bee venom or pet dander — or a food that doesn't cause a reaction in most people.","Allergy symptoms, which depend on the substance involved, can affect your airways,sinuses and nasal passages, skin, and digestive system.Hay fever, also called allergic rhinitis, can cause:SneezingItching of the nose, eyes or roof of the mouthRunny, stuffy noseWatery, red or swollen eyes (conjunctivitis)A food allergy can cause:Tingling in the mouthSwelling of the lips, tongue, face or throatHivesAnaphylaxisAn insect sting allergy can cause:A large area of swelling (edema) at the sting siteItching or hives all over the bodyCough, chest tightness, wheezing or shortness of breathAnaphylaxisA drug allergy can cause:HivesItchy skinRashFacial swellingWheezingAnaphylaxisAtopic dermatitis, an allergic skin condition also called eczema, can cause skin to:ItchReddenFlake or peel",,
5,5,Stomach aches,,,,
6,6,Diarrhea,"Are you witnessing loose, watery and possibly more-frequent bowel movement. It’s a common problem that every 3 person experiences, Diarrhea.","Loose, watery stools                                                Abdominal cramps                                     Abdominal pain                                                Fever                                                                       Blood in the stool                                              Mucus in the stool                                             Bloating                                                            Nausea                                                             Urgent need to have a bowel movement","Watch what you eat.Wash hands frequently/ use hand sanitisersWatch what you drink.Remedies :Drink plenty of clear liquids, including water, broths and juices. Avoid caffeine andalcohol.Add semisolid and low-fiber foods gradually as your bowel movements return to normal.Try soda crackers, toast, eggs, rice or chicken.Avoid certain foods such as dairy products, fatty foods, high-fiber foods or highlyseasoned foods for a few days.Ask about anti-diarrheal medications. Over-the-counter (OTC) anti-diarrhealmedications, such as loperamide and bismuth subsalicylate, might help reduce thenumber of watery bowel movements and control severe symptoms.Check with yourdoctor before taking these medications or giving them to a child.Consider taking probiotics. These microorganisms may help restore a healthy balanceto the intestinal tract by boosting the level of good bacteria, though it's not clear if theycan help shorten a bout of diarrhea. Probiotics are available in capsule or liquid formand are also added to some foods, such as certain brands of yogurt.While you wait for your appointment, you may ease your symptoms if you:Drink more fluids. To help avoid dehydration, drink water, juice and broth.Avoid foods that can aggravate diarrhea. Avoid fatty, high-fibre or highly seasonedfoods.",
7,7,Pink eye,"Pink eye is commonly caused by a bacterial or viral infection, an allergic reaction, or — in babies — an incompletely opened tear duct",The most common pink eye symptoms include: Redness in one or both eyes Itchiness in one or both eyes A gritty feeling in one or both eyes A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning Tearing,"Practice good hygiene to control the spread of pink eye. For instance: Don't touch your eyes with your hands. Wash your hands often. Use a clean towel and washcloth daily. Don't share towels or washcloths. Change your pillowcases often. Throw away your eye cosmetics, such as mascara. Don't share eye cosmetics or personal eye care items.","Doctor may recommend – -using artificial tear - cleaning your eyelids with a wet clot - applying cold or warm compresses several times daily. *If you wear contact lenses, you'll be advised to stop wearing them until treatment is complete."
8,8,Food poisoning:,"Food poisoning (foodborne illness) is a result of eating food that is contaminated – usually because of bacteria or a virus. It can be an inconvenient experience, but it rarely needs medical attention. With the intake of lot of fluids, good hand hygiene and light meals, you should be back in good health in a day or two.","Depending on the type of germ involved, symptoms can arise anytime from one to 36 hours after the consumption of contaminated food You may experience one or more of the following: Nausea Vomiting Diarrhoea Other symptoms may include: Stomach cramps Abdominal pain Loss of appetite High temperature",Practice good hand hygiene. Clean and disinfect food preparation surfaces,"Food poisoning can usually be treated at home, and most cases will resolve within three to five days.-If you have food poisoning, it’s crucial to remain properly hydrated.-Sports drinks high - electrolytes-Fruit juice and coconut water can restore carbohydrates."
9,9,JAUNDICE,Jaundice is a yellowing of the skin and the whites of eyes that happens when the body does notprocess bilirubin properly. This may be due to a problem in the liver.It is also known as icterus.,"a yellow tinge to the skin and the whites of the eyes, normally starting at the head and spreadingdown the bodypale stoolsdark urineitchiness","Jaundice is related to liver function. It is essential that people maintain the health of this vitalorgan by eating a balanced diet, exercising regularly, and not consuming more than therecommended amounts of alcoho","Anemia-induced jaundice may be treated by boosting the amount of iron in the blood by eithertaking iron supplements or eating more iron-rich foods.Hepatitis-induced jaundice requires antiviral or steroid medications.Doctors can treat obstruction-induced jaundice by surgically removing the obstruction.If the jaundice has been caused by use of a medication, treatment for involves changing to analternative medication."
